dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
breast_cancer,model_3layers_20neurons.h5,76,3.780674695968628,23,"[0.17984533309936523, 0.18175840377807617, 0.18744778633117676, 0.17239761352539062, 0.2767348289489746, 10.628186702728271, 20.74311900138855, 17.41812539100647, 7.591858625411987, 3.9226672649383545]","[0, 0, 0, 0, 1, 4, 8, 13, 20, 23]"
breast_cancer,model_3layers_20neurons.h5,77,1.844780683517456,26,"[0.15858054161071777, 0.15637588500976562, 0.41385841369628906, 0.30342960357666016, 0.3196389675140381, 0.3001058101654053, 1.2663986682891846, 8.272054195404053, 5.154428720474243, 1.780153512954712]","[0, 0, 0, 0, 0, 0, 2, 9, 15, 26]"
breast_cancer,model_3layers_20neurons.h5,78,2.507725715637207,25,"[0.1724705696105957, 0.17608165740966797, 0.1903541088104248, 0.3105144500732422, 0.2700612545013428, 0.2879035472869873, 1.1869120597839355, 10.420517444610596, 5.741570949554443, 2.4718387126922607]","[0, 0, 0, 0, 0, 0, 0, 9, 19, 25]"
breast_cancer,model_3layers_20neurons.h5,79,6.019177436828613,21,"[0.1810293197631836, 0.18114185333251953, 0.18209075927734375, 0.2513010501861572, 0.23755240440368652, 0.25063657760620117, 4.066220760345459, 8.865501880645752, 8.772653341293335, 5.923694133758545]","[0, 0, 0, 0, 0, 0, 0, 1, 8, 21]"
breast_cancer,model_3layers_20neurons.h5,80,2.4147181510925293,25,"[0.20075440406799316, 0.17235469818115234, 0.17136788368225098, 0.210341215133667, 0.3213791847229004, 0.3159902095794678, 5.9150636196136475, 25.103863954544067, 3.980213165283203, 2.1320502758026123]","[0, 0, 0, 0, 0, 0, 1, 4, 13, 25]"
breast_cancer,model_3layers_20neurons.h5,81,3.329383373260498,24,"[0.16538190841674805, 0.1563706398010254, 0.152693510055542, 0.1607649326324463, 0.2942988872528076, 1.1579327583312988, 7.502453565597534, 4.967493772506714, 2.173569679260254, 3.214103937149048]","[0, 0, 0, 0, 7, 8, 11, 14, 19, 24]"
breast_cancer,model_3layers_20neurons.h5,82,0.6046123504638672,28,"[0.17236733436584473, 0.19420576095581055, 0.1692204475402832, 0.15671205520629883, 0.2732548713684082, 0.4986879825592041, 2.000734567642212, 2.584848642349243, 1.37955904006958, 0.5135202407836914]","[0, 0, 0, 0, 0, 3, 3, 12, 21, 28]"
breast_cancer,model_3layers_20neurons.h5,83,2.7321114540100098,24,"[0.3896152973175049, 0.17690730094909668, 0.24775981903076172, 0.30016183853149414, 0.28949618339538574, 0.2997262477874756, 0.5256407260894775, 6.7508039474487305, 6.121309518814087, 2.6333136558532715]","[0, 0, 0, 0, 0, 0, 0, 4, 9, 24]"
breast_cancer,model_3layers_20neurons.h5,84,2.935656309127808,22,"[0.17138433456420898, 0.16410565376281738, 0.17162775993347168, 0.17411255836486816, 0.3206768035888672, 2.5460362434387207, 4.825695037841797, 7.470083236694336, 4.090490818023682, 2.540313243865967]","[0, 0, 0, 0, 0, 7, 12, 16, 19, 22]"
breast_cancer,model_3layers_20neurons.h5,85,2.613375663757324,27,"[0.17523455619812012, 0.18243885040283203, 0.2959270477294922, 0.29863548278808594, 0.33831310272216797, 0.28581857681274414, 0.2851579189300537, 4.130840539932251, 4.372704982757568, 2.989652395248413]","[0, 0, 0, 0, 0, 0, 0, 1, 11, 27]"
breast_cancer,model_3layers_20neurons.h5,86,3.4386415481567383,24,"[0.18923211097717285, 0.19134831428527832, 0.18303894996643066, 0.29878735542297363, 0.30297136306762695, 0.2907748222351074, 3.1795027256011963, 3.474055051803589, 4.132299184799194, 3.457064151763916]","[0, 0, 0, 0, 0, 0, 0, 6, 12, 24]"
breast_cancer,model_3layers_20neurons.h5,87,4.021669149398804,22,"[0.1774137020111084, 0.17429351806640625, 0.19455814361572266, 0.1749253273010254, 0.2649819850921631, 4.478731155395508, 8.534981489181519, 6.186870574951172, 5.8187806606292725, 4.01487135887146]","[0, 0, 0, 0, 2, 6, 6, 11, 13, 22]"
breast_cancer,model_3layers_20neurons.h5,88,2.233058214187622,23,"[0.16486716270446777, 0.15581154823303223, 0.19386744499206543, 0.15974855422973633, 0.2629573345184326, 3.82950758934021, 8.712369680404663, 2.553687810897827, 2.076312780380249, 2.1643590927124023]","[0, 0, 0, 0, 1, 6, 14, 22, 23, 23]"
breast_cancer,model_3layers_20neurons.h5,89,1.8817901611328125,26,"[0.1824963092803955, 0.39052438735961914, 0.16918420791625977, 0.2030320167541504, 0.3354504108428955, 0.3198373317718506, 2.951552391052246, 4.570871353149414, 6.2030651569366455, 1.8970136642456055]","[0, 0, 0, 0, 0, 0, 0, 8, 16, 26]"
breast_cancer,model_3layers_20neurons.h5,90,5.601688385009766,22,"[0.19186758995056152, 0.1951613426208496, 0.1567549705505371, 0.1572258472442627, 0.29697656631469727, 11.164504289627075, 27.645721673965454, 13.683490753173828, 10.906609058380127, 5.5996105670928955]","[0, 0, 0, 0, 0, 5, 8, 14, 19, 22]"
breast_cancer,model_3layers_20neurons.h5,91,7.619185924530029,22,"[0.16706204414367676, 0.17316794395446777, 0.18250560760498047, 0.18779516220092773, 0.2720835208892822, 28.730364322662354, 24.033857583999634, 19.561158895492554, 8.376752853393555, 8.124855756759644]","[0, 0, 0, 0, 0, 2, 11, 14, 21, 22]"
breast_cancer,model_3layers_20neurons.h5,92,2.0899994373321533,26,"[0.178192138671875, 0.18216395378112793, 0.16687226295471191, 0.2680323123931885, 0.27329564094543457, 0.29203200340270996, 0.2997722625732422, 5.0842108726501465, 6.884534597396851, 2.1687488555908203]","[0, 0, 0, 0, 0, 0, 0, 4, 13, 26]"
breast_cancer,model_3layers_20neurons.h5,93,2.7022833824157715,25,"[0.16358447074890137, 0.15874195098876953, 0.17620229721069336, 0.283048152923584, 0.30472803115844727, 0.32367587089538574, 1.713677167892456, 4.1581480503082275, 5.430681467056274, 2.707531452178955]","[0, 0, 0, 0, 0, 0, 1, 7, 13, 25]"
breast_cancer,model_3layers_20neurons.h5,94,1.3923916816711426,27,"[0.1792292594909668, 0.17891502380371094, 0.17104196548461914, 0.2603154182434082, 0.28928112983703613, 0.33972740173339844, 1.6754240989685059, 3.574462890625, 1.6888718605041504, 1.419532299041748]","[0, 0, 0, 0, 0, 0, 1, 13, 22, 27]"
breast_cancer,model_3layers_20neurons.h5,95,1.0244369506835938,26,"[0.1697838306427002, 0.17468905448913574, 0.1924760341644287, 0.34595227241516113, 0.2823467254638672, 1.1306593418121338, 1.104675054550171, 1.397918462753296, 1.3247318267822266, 1.04695463180542]","[0, 0, 0, 0, 0, 4, 14, 16, 21, 26]"
breast_cancer,model_3layers_20neurons.h5,96,2.021298408508301,25,"[0.20195531845092773, 0.17608404159545898, 0.175323486328125, 0.28249073028564453, 0.3318326473236084, 0.28225064277648926, 2.6312248706817627, 5.766501188278198, 2.9989399909973145, 1.701012134552002]","[0, 0, 0, 0, 0, 0, 0, 9, 19, 25]"
breast_cancer,model_3layers_20neurons.h5,97,3.419649124145508,23,"[0.17061662673950195, 0.18095612525939941, 0.17953252792358398, 0.15473341941833496, 0.2361295223236084, 0.8996090888977051, 13.611372709274292, 17.59829354286194, 12.930476427078247, 3.7900116443634033]","[0, 0, 0, 0, 0, 0, 1, 2, 8, 23]"
breast_cancer,model_3layers_20neurons.h5,98,2.2840352058410645,24,"[0.1792764663696289, 0.1754758358001709, 0.17680692672729492, 0.19104290008544922, 0.23130011558532715, 0.2539963722229004, 3.4528579711914062, 6.17062520980835, 3.7987067699432373, 1.9284977912902832]","[0, 0, 0, 0, 0, 0, 1, 8, 15, 24]"
breast_cancer,model_3layers_20neurons.h5,99,6.10024094581604,21,"[0.17426824569702148, 0.17752861976623535, 0.18194293975830078, 0.18854904174804688, 0.2715282440185547, 0.2705237865447998, 2.296380043029785, 6.945543050765991, 11.233157873153687, 6.324763774871826]","[0, 0, 0, 0, 0, 0, 0, 0, 7, 21]"
