instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta,explanation,explanation_relaxed,explanation_relaxed_global
44,0.09203505516052246,0.09210491180419922,0.10737419128417969,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
45,0.0956418514251709,0.09356856346130371,0.10050630569458008,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
46,0.09778690338134766,0.0922553539276123,0.10390472412109375,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
47,0.09544610977172852,0.09469199180603027,0.09865498542785645,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
48,0.09950447082519531,0.1164703369140625,0.1142730712890625,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
49,0.13676238059997559,0.09663820266723633,0.10673856735229492,3,0,3,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 1), (0, 2), (0, 3)]"
50,0.09968066215515137,0.09493017196655273,0.09468841552734375,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
51,0.09196066856384277,0.09456467628479004,0.10152411460876465,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
52,0.1021735668182373,0.08975696563720703,0.10473442077636719,3,0,4,0.1,"[(0, 0), (0, 2), (0, 3)]",[],"[(0, 0), (0, 1), (0, 2), (0, 3)]"
53,0.10459232330322266,0.08642268180847168,0.09712004661560059,3,0,3,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 1), (0, 2), (0, 3)]"
