Model Name,Training Time,Train Accuracy,Test Accuracy
model_2layers_20neurons,296.0804982185364,0.9780666828155518,0.9624000191688538
model_1layers_20neurons,312.7999601364136,0.9786333441734314,0.9617000222206116
model_3layers_20neurons,363.08438372612,0.9743166565895081,0.9607999920845032
